acquisition_seed,training_seed,strategy,round,labeled_budget,development_eval_size,yaml_path,map50,map5095,precision,recall,train_status,train_run_dir,error,actual_trained_epochs,final_epoch,best_epoch_map50,best_results_map50,last_results_map50,best_epoch_map5095,best_results_map5095,last_results_map5095,retry_count
42,1042,GTFreeRandom,0,15,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\__SHARED_ROUND0__\round_0\data.yaml,0.160326,0.061188,0.387713,0.273736,shared_baseline,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42___SHARED_ROUND0___R0_trainseed1042,,100,100,98,0.1616,0.1616,98,0.06169,0.06169,0
42,1042,GTFreeRandom,1,20,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeRandom\round_1\data.yaml,0.21673,0.0941,0.456835,0.304892,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeRandom_R1_trainseed1042,,100,100,100,0.21651,0.21651,100,0.09465,0.09465,0
42,1042,GTFreeRandom,2,25,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeRandom\round_2\data.yaml,0.385053,0.16942,0.391082,0.50451,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeRandom_R2_trainseed1042,,100,100,95,0.40218,0.39478,91,0.17006,0.16644,0
42,1042,GTFreeRandom,3,30,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeRandom\round_3\data.yaml,0.319739,0.133674,0.384797,0.345792,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeRandom_R3_trainseed1042,,100,100,95,0.32419,0.314,95,0.13522,0.1328,0
42,1042,GTFreeRandom,4,35,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeRandom\round_4\data.yaml,0.337541,0.141215,0.443119,0.34944,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeRandom_R4_trainseed1042,,100,100,89,0.35362,0.341,100,0.14156,0.14156,0
43,1043,GTFreeDatasetBalancedConsistency,0,15,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\__SHARED_ROUND0__\round_0\data.yaml,0.166965,0.076763,0.604128,0.218184,shared_baseline,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43___SHARED_ROUND0___R0_trainseed1043,,100,100,98,0.1673,0.1673,98,0.07702,0.07702,0
43,1043,GTFreeDatasetBalancedConsistency,1,20,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedConsistency\round_1\data.yaml,0.307392,0.133818,0.501458,0.34877,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedConsistency_R1_trainseed1043,,100,100,92,0.30781,0.30679,100,0.13336,0.13336,0
43,1043,GTFreeDatasetBalancedConsistency,2,25,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedConsistency\round_2\data.yaml,0.312343,0.141049,0.446541,0.32663,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedConsistency_R2_trainseed1043,,100,100,85,0.3125,0.30748,85,0.14071,0.13717,0
43,1043,GTFreeDatasetBalancedConsistency,3,30,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedConsistency\round_3\data.yaml,0.347554,0.16238,0.384946,0.36505,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedConsistency_R3_trainseed1043,,100,100,91,0.34728,0.33968,91,0.16235,0.15632,0
43,1043,GTFreeDatasetBalancedConsistency,4,35,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedConsistency\round_4\data.yaml,0.331383,0.161841,0.337089,0.393698,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedConsistency_R4_trainseed1043,,100,100,70,0.33144,0.32003,70,0.16166,0.15205,0
