acquisition_seed,round,strategy_a,strategy_b,overlap_count,strategy_a_size,strategy_b_size,jaccard
45,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,19,30,30,0.4634146341463415
45,3,GTFreeDatasetBalancedConsistency,GTFreeRandom,18,30,30,0.42857142857142855
45,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,19,30,30,0.4634146341463415
45,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,30,30,30,1.0
45,3,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,20,30,30,0.5
45,3,GTFreeRandom,GTFreeDatasetBalancedConsistency,18,30,30,0.42857142857142855
45,3,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,20,30,30,0.5
45,3,GTFreeRandom,GTFreeRandom,30,30,30,1.0
45,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,35,35,35,1.0
45,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,21,35,35,0.42857142857142855
45,4,GTFreeDatasetBalancedConsistency,GTFreeRandom,21,35,35,0.42857142857142855
45,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,21,35,35,0.42857142857142855
45,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,35,35,35,1.0
45,4,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,22,35,35,0.4583333333333333
45,4,GTFreeRandom,GTFreeDatasetBalancedConsistency,21,35,35,0.42857142857142855
45,4,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,22,35,35,0.4583333333333333
45,4,GTFreeRandom,GTFreeRandom,35,35,35,1.0
46,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,15,15,15,1.0
46,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
46,0,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,15,15,1.0
46,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,15,15,1.0
46,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
46,0,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,15,15,1.0
46,0,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,15,15,1.0
46,0,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
46,0,GTFreeRandom,GTFreeRandom,15,15,15,1.0
46,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,20,20,20,1.0
46,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,20,20,0.6
46,1,GTFreeDatasetBalancedConsistency,GTFreeRandom,16,20,20,0.6666666666666666
46,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,20,20,0.6
46,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,20,20,20,1.0
46,1,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,20,20,0.6
46,1,GTFreeRandom,GTFreeDatasetBalancedConsistency,16,20,20,0.6666666666666666
46,1,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,20,20,0.6
46,1,GTFreeRandom,GTFreeRandom,20,20,20,1.0
46,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,25,25,25,1.0
46,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,16,25,25,0.47058823529411764
46,2,GTFreeDatasetBalancedConsistency,GTFreeRandom,17,25,25,0.5151515151515151
46,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,16,25,25,0.47058823529411764
46,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,25,25,25,1.0
46,2,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,17,25,25,0.5151515151515151
46,2,GTFreeRandom,GTFreeDatasetBalancedConsistency,17,25,25,0.5151515151515151
46,2,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,17,25,25,0.5151515151515151
46,2,GTFreeRandom,GTFreeRandom,25,25,25,1.0
46,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,30,30,30,1.0
46,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,18,30,30,0.42857142857142855
46,3,GTFreeDatasetBalancedConsistency,GTFreeRandom,20,30,30,0.5
46,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,18,30,30,0.42857142857142855
46,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,30,30,30,1.0
46,3,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,18,30,30,0.42857142857142855
46,3,GTFreeRandom,GTFreeDatasetBalancedConsistency,20,30,30,0.5
46,3,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,18,30,30,0.42857142857142855
46,3,GTFreeRandom,GTFreeRandom,30,30,30,1.0
46,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,35,35,35,1.0
46,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,20,35,35,0.4
46,4,GTFreeDatasetBalancedConsistency,GTFreeRandom,21,35,35,0.42857142857142855
46,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,20,35,35,0.4
46,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,35,35,35,1.0
46,4,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,20,35,35,0.4
46,4,GTFreeRandom,GTFreeDatasetBalancedConsistency,21,35,35,0.42857142857142855
46,4,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,20,35,35,0.4
46,4,GTFreeRandom,GTFreeRandom,35,35,35,1.0
