source_strategy,num_images,total_bbox_instances,mean_bbox_per_image,median_bbox_per_image,multi_object_image_ratio,num_actual_classes,actual_class_entropy,actual_class_distribution,bbox_area_mean,bbox_area_std,small_bbox_ratio,medium_bbox_ratio,large_bbox_ratio,dataset_distribution,acquisition_seed,strategy,round,labeled_budget
GTFreeRandom,35,69,1.9714285714285715,1.0,0.4857142857142857,9,2.57807165232473,"{""crazing"": 2, ""crease"": 27, ""inclusion"": 8, ""patches"": 8, ""pitted_surface"": 8, ""rolled-in_scale"": 4, ""rolled_pit"": 1, ""scratches"": 10, ""water_spot"": 1}",0.1063890285326087,0.14058499530457752,0.13043478260869565,0.463768115942029,0.4057971014492754,"{""GC10-DET"": 20, ""NEU-DET"": 15}",44,GTFreeRandom,4,35
GTFreeDatasetBalancedConsistency,15,32,2.1333333333333333,2.0,0.8666666666666667,7,2.4549395501179974,"{""crazing"": 9, ""crease"": 7, ""inclusion"": 1, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""silk_spot"": 1}",0.18322442932128907,0.15174638318812905,0.03125,0.28125,0.6875,"{""GC10-DET"": 4, ""NEU-DET"": 11}",45,GTFreeDatasetBalancedConsistency,0,15
GTFreeDatasetBalancedConsistency,20,37,1.85,2.0,0.65,7,2.376750664264768,"{""crazing"": 9, ""crease"": 12, ""inclusion"": 1, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""silk_spot"": 1}",0.17012963471283787,0.14538770812787494,0.02702702702702703,0.2972972972972973,0.6756756756756757,"{""GC10-DET"": 9, ""NEU-DET"": 11}",45,GTFreeDatasetBalancedConsistency,1,20
GTFreeDatasetBalancedConsistency,25,46,1.84,2.0,0.6,8,2.4957941681640428,"{""crazing"": 9, ""crease"": 17, ""inclusion"": 1, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""scratches"": 4, ""silk_spot"": 1}",0.15605471085258155,0.14058371602623781,0.021739130434782608,0.391304347826087,0.5869565217391305,"{""GC10-DET"": 13, ""NEU-DET"": 12}",45,GTFreeDatasetBalancedConsistency,2,25
GTFreeDatasetBalancedConsistency,30,53,1.7666666666666666,2.0,0.5666666666666667,8,2.542871790719693,"{""crazing"": 9, ""crease"": 19, ""inclusion"": 1, ""patches"": 3, ""pitted_surface"": 7, ""rolled-in_scale"": 7, ""scratches"": 6, ""silk_spot"": 1}",0.17165354326356133,0.18340437063121595,0.018867924528301886,0.41509433962264153,0.5660377358490566,"{""GC10-DET"": 15, ""NEU-DET"": 15}",45,GTFreeDatasetBalancedConsistency,3,30
GTFreeDatasetBalancedConsistency,35,62,1.7714285714285714,2.0,0.5714285714285714,8,2.5109538198460397,"{""crazing"": 9, ""crease"": 24, ""inclusion"": 1, ""patches"": 5, ""pitted_surface"": 7, ""rolled-in_scale"": 7, ""scratches"": 8, ""silk_spot"": 1}",0.1625545299899194,0.17556809935607748,0.016129032258064516,0.45161290322580644,0.532258064516129,"{""GC10-DET"": 18, ""NEU-DET"": 17}",45,GTFreeDatasetBalancedConsistency,4,35
GTFreeDatasetBalancedVisualDiversity,15,32,2.1333333333333333,2.0,0.8666666666666667,7,2.4549395501179974,"{""crazing"": 9, ""crease"": 7, ""inclusion"": 1, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""silk_spot"": 1}",0.18322442932128907,0.15174638318812905,0.03125,0.28125,0.6875,"{""GC10-DET"": 4, ""NEU-DET"": 11}",45,GTFreeDatasetBalancedVisualDiversity,0,15
GTFreeDatasetBalancedVisualDiversity,20,37,1.85,2.0,0.65,7,2.376750664264768,"{""crazing"": 9, ""crease"": 12, ""inclusion"": 1, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""silk_spot"": 1}",0.17479875158361488,0.14963599285262585,0.05405405405405406,0.2702702702702703,0.6756756756756757,"{""GC10-DET"": 9, ""NEU-DET"": 11}",45,GTFreeDatasetBalancedVisualDiversity,1,20
GTFreeDatasetBalancedVisualDiversity,25,46,1.84,2.0,0.56,8,2.5715956529739508,"{""crazing"": 9, ""crease"": 16, ""inclusion"": 2, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""scratches"": 4, ""silk_spot"": 1}",0.15126474821671196,0.14429411408193427,0.06521739130434782,0.3695652173913043,0.5652173913043478,"{""GC10-DET"": 13, ""NEU-DET"": 12}",45,GTFreeDatasetBalancedVisualDiversity,2,25
GTFreeDatasetBalancedVisualDiversity,30,55,1.8333333333333333,2.0,0.5333333333333333,9,2.7506828448465925,"{""crazing"": 9, ""crease"": 17, ""inclusion"": 3, ""patches"": 3, ""pitted_surface"": 6, ""rolled-in_scale"": 7, ""scratches"": 8, ""silk_spot"": 1, ""waist_folding"": 1}",0.1694283877840909,0.18412772780304473,0.05454545454545454,0.38181818181818183,0.5636363636363636,"{""GC10-DET"": 15, ""NEU-DET"": 15}",45,GTFreeDatasetBalancedVisualDiversity,3,30
